Grid_Nx,Grid_Ny,Threads,Approach,Interp_Time_s,Mover_Time_s,Total_Time_s
250,100,1,Assign04_Baseline,1.705313,1.892403,3.597716
250,100,1,Deferred_Insertion,1.641621,2.049724,3.691345
250,100,2,Assign04_Baseline,1.70297,0.962741,2.665711
250,100,2,Deferred_Insertion,1.693498,1.167556,2.861054
250,100,4,Assign04_Baseline,1.642758,0.547965,2.190723
250,100,4,Deferred_Insertion,1.657719,0.917796,2.575515
250,100,8,Assign04_Baseline,1.725782,0.312374,2.038156
250,100,8,Deferred_Insertion,1.814671,0.787564,2.602235
250,100,16,Assign04_Baseline,1.647619,0.2966,1.94422
250,100,16,Deferred_Insertion,1.82068,0.592194,2.412874
500,200,1,Assign04_Baseline,1.976008,1.832649,3.808657
500,200,1,Deferred_Insertion,1.972377,2.027828,4.000204
500,200,2,Assign04_Baseline,2.567351,0.938027,3.505378
500,200,2,Deferred_Insertion,3.318456,1.175717,4.494173
500,200,4,Assign04_Baseline,2.669303,0.529594,3.198897
500,200,4,Deferred_Insertion,2.264062,1.016233,3.280295
500,200,8,Assign04_Baseline,2.113862,0.298608,2.41247
500,200,8,Deferred_Insertion,1.975815,0.496461,2.472276
500,200,16,Assign04_Baseline,2.320236,0.290213,2.610449
500,200,16,Deferred_Insertion,2.011237,0.503372,2.514609
1000,400,1,Assign04_Baseline,2.152338,1.889762,4.042101
1000,400,1,Deferred_Insertion,2.05081,2.083955,4.134764
1000,400,2,Assign04_Baseline,2.506655,1.050069,3.556724
1000,400,2,Deferred_Insertion,2.315161,1.275882,3.591044
1000,400,4,Assign04_Baseline,2.349696,0.591599,2.941295
1000,400,4,Deferred_Insertion,3.731832,0.829456,4.561289
1000,400,8,Assign04_Baseline,2.984098,0.349382,3.333479
1000,400,8,Deferred_Insertion,3.261191,0.573083,3.834274
1000,400,16,Assign04_Baseline,2.379857,0.259064,2.638922
1000,400,16,Deferred_Insertion,3.426431,0.623488,4.049919
